a	un, uno, una[Article]
only just, just so long as.	tantummodo
only.	tantum
open, accessible, exposed.	expositus
openly, clearly, candidly.	candide
openly, frankly.	aperte
openly, publicly, (+abl.) in the presence of.	palam
opinion, judgment.	censura
opinion, report, rumor, conjecture, report.	opinio
opinion, thought, way of thinking, meaning, purpose.	sententia
opponent	adversatrix, -icis (f.); adversator, -oris (m.)[Noun]
opponent.	adversarius
opportune	opportunus[Adjective]
opportune, fit, convenient, suitable.	opportunus
opportunely	opportune[Adverb]
opportunity	opportunitas, -atis (f.)[Noun]
opportunity.	occasio
opposite	adversarius[Adjective]
oppositely	adversum[Adverb]
opposition	oppositus, -us (m.)
opposition/ adversity.	adversitas
oppression, extortion.	concussio
opprobrium	opprobrium, -i (n.)[Noun]
opulent.	locuples
or	aut[Conjunction]
or	aut... aut ("either... or...")[Conjunction]
or if.	sive seu
or not.	necne
or, (adv.) even, actually, for example.	vel
orator, speaker. spokesman, envoy, ambassador.	orator
orator.	rhetor
oratorical / oratory.	oratorius
oratorically.	oratorie
order, decree, mandate, instruction.	mandatum
order.	jussio
orderly, matching, made up of pieces.	compositus
orderly, within bounds, moderate, restrained.	modestus
ordinance, principle.	decretum
ordinance.	edictum
ordinance.	scitus
ordinary, average, fair, moderate, mediocre.	mediocris
ordinary, undistinguished, within bounds.	modicus
organization.	norma
origin, start, beginning /planting, sowing.	satus
origin, start, source, beginning / ancestor.	origo, originis
-oris doorkeeper, porter.	ianitor
ornaments.	suppellex, suppellectilus
orphan, minor.	pupillus
orphan, ward.	pupillus pupilla
ostentation, bragging.	jactantia
other than.	alius, atque
other, another, someone else, something else.	alius, alia, aliud
otherwise, in another way, in a different fashion.	aliter
otherwise, not so.	secus
our ours /OUR hearts beat as one.	noster nostri
our ours /that old dream of OURS.	noster nostri
our, ours.	noster nostra nostrum
out of doors, outside, abroad / from abroad, from outside.	foris
out of ones senses.	amens
outcome, success, fate, event, occurrence.	eventus
outcry.	vociferatio
outer, foreign, outside, external.	externus
outermost, last, extreme.	extremus
outermost.	extimus
out-of-the-way roads.	devia
outrageous, self-willed, impudent.	improbus
outside, exraneous/ foreign, strange.	extraneus
outside, without, out of doors / + dare = to publish.	foras
outspread.	diffusus
outward, external/ strange, unrelated, foreign.	extrarius
outwardly, externally, from the outside.	extrinsecus
oven, furnace, kiln.	fornax, fornacis
oven, furnace/ tray for bread making.	clibanus
over there /along that path, in that direction.	illac
overbearing, arrogant, haughty, proud.	superbus
overflowing, redundancy.	redundantia
overflowing.	proluvies
over-hasty, precipitate.	praeproperus, preproperus
overlook, dispise, look down upon.	despecto
ownership.	proprietas
P.P. of sequor, ensuing, following.	subsequens
pace, gait.	incessus
pace, the ability to walk.	gressus
pacemaker	No Translation[Noun]
paid out, valued.	pensus
pain, grief. misery, pain, suffering.	dolor
pain, punishment, penalty	poena
painfully.	dolens
pains, labor, task, pursuit.	negotium
painted / of cloth, embroidered.	picturatus
painter.	pictor
pale, stake /swamp, bog, marsh.	palus
pale, wan, pale yellow, pale green /weak, drooping.	pallens
pale, wan; causing paleness.	pallidus
paleness, fading.	pallor
palisade, earthen wall, entrenchment, rampart.	vallum
palisaded rampart, ditch, moat.	vallum
palm.	palma
panelled ceiling.	lacunar
panther, leopard.	pardus
parent.	parens, parentis
part, share /direction.	pars, partis
partaker, partner, sharer, comrade.	particeps
particularly.	praecipue
partly /some.	partim
partly cloudy, somewhat cloudy.	subnubilus
partner, comrade, associate, ally, fellow.	socius
partnership, company .	consortio
passing through, penetrating / internal, inner /.	penetralis
passion, desire, wantining, yearning, longing.	cupido
passion.	perturbatio
passionate fire.	aestus
past tense of eo.	ivi
past.	praeteritus, preteritus
pastery, cookie.	crustulum
pasture.	pastus
paternal aunt.	amita
paternal uncle.	patruus
patience, suffering, endurance.	patientia
patient /(+ gen.) capable of enduring.	patiens
patient.	longaminus
patiently.	patienter
patron, protector.	patronus
patronage.	patrocinium
pattern, model, example .	exemplum
paved road.	calceata
paved, made firm.	interfixus
pawn, pledge, token, (in pl.) persons in pledges of.	pignus
pay, reward, recompense, compensation.	merces mercedis
payment of dues, military service, service.	servitium
payment, expenditure.	erogatio
payment, tribute.	tributum
peace, truce, treaty.	pax pacis
peace.	pax pacis
peaceably.	pacifice
peace-making.	pacificus
peak, mountain crest, ridge, promontory.	promontorium
pear tree.	pirus
pear.	pirum
pearl barley, barley groats.	polenta
pebble, stone.	calculus
peck, bushel.	modius
pelt .	pellis
penance.	penitentia
penetrable.	forabilis
penetrating.	perspicax
penurious, poor, poverty-stricken.	penuriosus
people, the people, nation, crowd, multitude, host.	populus
people.	populi
pepper.	piper, piperis
per vices -- by turns, successively.	vices
perchance.	forte
perhaps, probably.	forsit forsan forsitan
perhaps.	fortasse
perjury, oath-breaking, foreswearing an oath.	periurium
permanency.	manentia
permitted, allowed.	licitus
pernicious, destructive.	perniciosus
perniciously.	exitialiter
perpetration, execution, performance, action.	commissio
perpetual, continuous.	iugis iuge
perpetual, lasting, continuous, uninterrupted.	perpetuus
perpetually, continually.	jugiter
perseverence, persistence.	perseverantia
persistent, firm, mean, stubborn, obstinate.	pertinax
personal enemy, foe, opponent.	inimicus
persuasive discourse.	suasoria
pertaining to a bedroom.	cubicularis
pertaining to a camp, military/ disciplined, orderly.	castrensis
pertaining to a journey , a journey /money, prize-money.	viaticus
pertaining to an estate, overseer, steward.	vilicus, villicus
pertaining to man, humane, humane, cultured, refined.	humanus
pertaining to rain, of rain.	pluvialis
pertaining to summer.	aestivus estivus
pertaining to the bathhouse /bathhouse.	balnearius
pestilence, plague.	pestilencia
pestilential, injurious, damaging, plaguey,.	pestifer
philosophic speculation.	theorice
physical beauty / formula / rule, principle.	formula
physical strength, courage, moral bravery.	fortitudo
piety.	devotio
pigsty, slough.	volutabrum
pile, mass.	congeries
piles, heaps, masses.	strues
pillaging, looting, sacking, plundering, robbing.	depopulatio
pillow	lodix, -icis[Noun]
pillows	lodices, -ium[Noun]
pincers, tongs.	forceps
pine wood.	pinetum
pious, dutiful, compassionate, respectful, gracious.	pius
pit, abyss /the underworld.	barathrum
pitch-pine torch.	taeda
pitfall, snare, trap.	forca
pity, mercy.	misericordia
place for keeping fruit.	oporotheca
place where two ways meet.	bivium
place, location, situation, spot. [monastery].	locus
placed near, approaching, appropriate, appositively.	appositus
plague (Vulgate), affliction, scourge.	plaga
plague, epidemic, pestilence /destruction, curse.	pestis pestis
plague, pestilence, calamity.	lues
plain, simple, direct, open, straightforward.	directus
plainly, clearly.	plane
plainly.	enucleate
plaintiff, complainant.	postulator
plaintive.	postulativus
plant, shoot, sprout, twig, sprig.	planta
planted with trees.	arbustus
planter, father, creator.	sator
platform, raised place.	suggestus
platform, stage.	pulpitum
playful, means arbitrary, capricious.	ludicer
pleasant [of a place].	amoena
pleasant, delightful .	jucundus
pleasant, one devoted to pleasure.	voluptarius
pleasantness [of a place].	amoenitas
pleasure, charm.	iucunditas
pleasure.	voluptas
plenteousness, richness, fertility.	ubertas
plentifully furnished, fertile.	fecunda
pliant.	flexilis
plough-coulter.	culter, cultri
ploughshare.	vomer
plow.	aratrum
plowman, cultivator.	arator
plowshare.	socus
plowshare.	vomer
plunder, booty, spoils of war, loot, gain, prey.	praeda, preda
plundering, looting, stripping, robbing.	spoliatio
plundering, taking booty.	expilatio
poem, verse, rhyme.	poema poematis
poetry, poem, song.	camena
point, the pointed end /spear, javelin /cooking spit.	cuspis
pointed down, sloping down.	fastigatus
poise, balance.	libramen
poison.	toxicum
poisonous, magical /witch, wizard, caster of spells.	veneficus
poisonous.	venenifer
pole, heavens.	polus
poll tax.	capitagium
pompous, swollen, puffed up, inflated.	inflatus
poor, helpless, in need, needy, wthout resources.	inops
poor, with few means, poverty-stricken.	pauper
poppy.	papaver
populace, laity.	populus
populace, lower classes, the mob.	plebs
popular.	populus
portent, omen, monster.	monstrum
portent.	monstrum
porter, pall-bearer, carrier of a burden /steward.	baiulus
position, place, arrangment.	positus
possession, property.	possessio
posterity.	posteri
poultice / alleviation.	fomentum
pound, talent, endowment, aptitude.	talentum
power to command, authority, command, rule, control.	imperium
power, ability, authority /opportunity.	potestas
power, means, opportunity, capacity, ability, stock.	facultas
practical judgment, discretion.	prudentia
practice in oratory.	declamatio
practice, preparation, getting ready.	meditatio
praise	laudo, laudare, laudavi, laudatum[Verb]
praise	lauda (command)[Verb]
praise, commendation.	laudatio
praise, glory, fame.	laus
praised	laudatus, -a, -um[Adjective]
praiser	laudator, -oris (m.)[Noun]
praiser.	laudator
praisers	laudatores, -ium (m.)[Noun]
praiseworthy, laudable.	laudabilis
prating, chattering, talkativeness.	garrulitas
pray	orare[Verb]
pray	precari[Verb]
pray	rogare[Verb]
prayer	imploratio[Noun]
prayer	precatio[Noun]
prayer	preces[Noun]
prayer, beseeching.	precatus
prayer, wish, desire /vow, promise to God.	votum
prayer.	deprecatio
prayer.	oratio
prayerful	supplex[Adjective]
praying	precatio[Noun]
praying	preces[Noun]
preach	docere[Verb]
preach	orationem habere[Verb]
preach	praedicare[Verb]
preacher	praedicator[Noun]
preaches	docet[Verb]
preaches	orationem habet[Verb]
preaches	praedica[Verb]
preaching (s), foretelling (s), condemning.	praedicatio
preamble	exordium[Noun]
preambles	exordia[Noun]
precept, preconception.	praecepio, precepio
precipice.	praeceps
precise.	subtilis
precision.	subtilitas
predecessor.	antecessor
prediction, divination.	divinatio
preferring.	malens
prefix meaning half-.	sem
pregnant.	gravida
prelates, chiefs, magnates.	proceres
preliminary exercise, prelude.	prolusio
preparation, fitting out, equipment.	paratus
prepare, provide /draw up an order of battle.	instruo
prepared or ready for battle.	procinctu
prepared, ready, equipped; (of persons) skilled.	paratus
presence, presence of mind, effect, power.	praesentia
presentiment.	praesagium
presuming, haughty.	arrogans
presumption.	arrogantia
pretense,.	simulatio
prettily, handsomely, charmingly.	belle
pretty.	pulchellus
prevail upon, beg.	exoro
previous, former.	praevius
price, vaue, reward.	pretium
pride, arrogance.	superbia
pride, haughtiness.	fastosus
prison, cell, jail, dungeon.	carcer
prithee.	sodes
private, unofficial, a private person.	privatus
privy counsellor.	secretarius
privy to.	conscius
probity, uprightness, honesty.	probitas
procedure, theory.	ratio
procession, progress.	processus
procurer, go-between.	leno
prodigious.	ingens
prodigy, portent / monster, unnatural thing.	prodigium
produce, bring forward, bring out.	producto produxi productum
producer, someone who causes something.	effector, effectrix
producing.	exhibitio
productive, fertile, abundant, rich.	uber
profane, desecrate.	profano
profit, a source of profit, gainiing, getting.	quaestus questus
profit, favorable condition, requirements.	commodum
profit, the use of something.	ususfructus
profitable, fond of gain, rich.	quaestuosus questuosus
profitable, gainful.	lucrosus
profusely.	profusius
profusion, prodigiality.	prodigentia
prohibition, restrain, forbidding.	prohibitio
project, thrust forward.	exsertus exertus
prolong, protract/ bring forward.	extraho
promise, assurance, word of honor, engagement.	fides
promise, offer.	promissum
promise, trust, faith, belief, truth.	fides
promise.	pollicitatio
promised, a promise.	pollicitus
promote, divulge, bring to light.	producto produxi productum
promoter.	fautor
promptly, resolutely, readily.	prompte
promptly.	expedite
proof, evidence, witness, indication.	testimonium
proof, evidence.	argumentum
proper, fit, commodious.	commodus
proper, worthy, fitting, deserving, capable.	idoneus
properly, fittingly, suitably.	decens, decenter
prophetic.	praesagus
propitious.	prosper
proposal, proposition.	propositio
proposition, thesis.	thesis
propped up, supported.	subnixus subnisus
propriety, decency of behavior.	decentia
propserity, good fortune.	prosperitas
proscenium	proscaenium, -i (n.)
prosecutor	condemnator, -oris (m.)[Noun]
prosecutors	condemnatores, -ium (m.)[Noun]
prospect	prospectus, -us (m.)[Noun]
prospering	prosperans, -ntis[Noun]
prosperity	prosperitas, -atis (f.)[Noun]
prosperous	prosperus[Adjective]
prosperously	prospere[Adverb]
prostitute	prostituo, -ere, -ui, -utus[Verb]
prostitute, whore, harlot.	meretrix meretricis
prostrate	prosterno, -ere, -stravi, -stratum[Verb]
prostrated	prostratus[Adjective]
protected, safe, secure.	tutis
protection, custody.	custodia
protection, guard, charge /guardianship, tutelage.	tutela
protonotary.	prothonotario
proud / alert / anxious /cheerful.	erectus
proven, rich in material.	argumentosus
provided with grain.	farratus
providence, foresight, prudence.	providentia
provisions, supplies, victuals.	penus, us
provocative.	incentivus
prow.	prora
prudent, wise.	prudens
prudent.	provida
pruner.	putator
public.	forensis
publication, promulgation (of a law).	promulgatio
publish, bring forth, appoint /abandon, betray.	prodo
publishing, spreading abroad.	divulgatio
puffed up.	elatus
puff-up, proud of oneself, arrogant.	elatus
punish, fine, mulct.	muto
punisher, avenger.	punitor
punishment.	supplicium
pupil of the eye.	pupula
pure, free from, spotless, without stain.	purus
pure, unadulterated, unpolluted.	incontaminatus
